exercise_id,name,gif_url,body_parts,target_muscles,secondary_muscles,equipments,instructions_clean,full_text,nb_steps,has_gif
2ORFMoR,Hack Calf Raise,2ORFMoR.gif,lower legs,calves,"hamstrings, glutes",sled machine,"Adjust the sled machine to a comfortable weight. | Stand on the sled machine with your toes on the platform and your heels hanging off. | Hold onto the handles for stability. | Raise your heels as high as possible by pushing through the balls of your feet. | Pause for a moment at the top, then slowly lower your heels back down to the starting position. | Repeat for the desired number of repetitions.","Exercice : Hack Calf Raise
    Parties du corps : lower legs
    Muscles ciblés : calves
    Muscles secondaires : hamstrings, glutes
    Équipement : sled machine
    Instructions : Adjust the sled machine to a comfortable weight. | Stand on the sled machine with your toes on the platform and your heels hanging off. | Hold onto the handles for stability. | Raise your heels as high as possible by pushing through the balls of your feet. | Pause for a moment at the top, then slowly lower your heels back down to the starting position. | Repeat for the desired number of repetitions.",6,True
2Qh2J1e,Sled 45° Leg Press (Side Pov),2Qh2J1e.gif,upper legs,glutes,"quadriceps, hamstrings, calves",sled machine,"Adjust the seat of the sled machine so that your knees are at a 90-degree angle when your feet are on the footplate. | Sit on the sled machine with your back flat against the backrest and your feet shoulder-width apart on the footplate. | Grip the handles on the sides of the seat for stability. | Push against the footplate to extend your legs, straightening them completely. | Pause for a moment at the top, then slowly bend your knees to lower the footplate back to the starting position. | Repeat for the desired number of repetitions.","Exercice : Sled 45° Leg Press (Side Pov)
    Parties du corps : upper legs
    Muscles ciblés : glutes
    Muscles secondaires : quadriceps, hamstrings, calves
    Équipement : sled machine
    Instructions : Adjust the seat of the sled machine so that your knees are at a 90-degree angle when your feet are on the footplate. | Sit on the sled machine with your back flat against the backrest and your feet shoulder-width apart on the footplate. | Grip the handles on the sides of the seat for stability. | Push against the footplate to extend your legs, straightening them completely. | Pause for a moment at the top, then slowly bend your knees to lower the footplate back to the starting position. | Repeat for the desired number of repetitions.",6,True
3eGE2JC,Dumbbell Front Raise,3eGE2JC.gif,shoulders,delts,"biceps, trapezius",dumbbell,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your thighs. | Keeping your arms straight, exhale and lift the dumbbells in front of you until they are at shoulder level. | Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. | Repeat for the desired number of repetitions.","Exercice : Dumbbell Front Raise
    Parties du corps : shoulders
    Muscles ciblés : delts
    Muscles secondaires : biceps, trapezius
    Équipement : dumbbell
    Instructions : Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your thighs. | Keeping your arms straight, exhale and lift the dumbbells in front of you until they are at shoulder level. | Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. | Repeat for the desired number of repetitions.",4,True
3tAXPQ6,Dumbbell Over Bench Revers Wrist Curl,3tAXPQ6.gif,lower arms,forearms,"biceps, brachialis",dumbbell,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing down. | Rest your forearms on the bench, allowing your wrists to hang off the edge. | Slowly curl your wrists upward, bringing the dumbbells towards your body. | Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. | Repeat for the desired number of repetitions.","Exercice : Dumbbell Over Bench Revers Wrist Curl
    Parties du corps : lower arms
    Muscles ciblés : forearms
    Muscles secondaires : biceps, brachialis
    Équipement : dumbbell
    Instructions : Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing down. | Rest your forearms on the bench, allowing your wrists to hang off the edge. | Slowly curl your wrists upward, bringing the dumbbells towards your body. | Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. | Repeat for the desired number of repetitions.",5,True
3TZduzM,Barbell Incline Bench Press,3TZduzM.gif,chest,pectorals,"shoulders, triceps",barbell,"Set up an incline bench at a 45-degree angle. | Lie down on the bench with your feet flat on the ground. | Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle. | Pause for a moment at the bottom, then push the barbell back up to the starting position. | Repeat for the desired number of repetitions.","Exercice : Barbell Incline Bench Press
    Parties du corps : chest
    Muscles ciblés : pectorals
    Muscles secondaires : shoulders, triceps
    Équipement : barbell
    Instructions : Set up an incline bench at a 45-degree angle. | Lie down on the bench with your feet flat on the ground. | Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle. | Pause for a moment at the bottom, then push the barbell back up to the starting position. | Repeat for the desired number of repetitions.",6,True
3XFdb1Z,Cable Squatting Curl,3XFdb1Z.gif,upper arms,biceps,forearms,cable,"Attach a cable handle to the lowest setting on a cable machine. | Stand facing the machine with your feet shoulder-width apart. | Hold the cable handle with an underhand grip, palms facing up, and arms fully extended. | Lower your body into a squat position, keeping your back straight and knees behind your toes. | As you squat down, curl the cable handle towards your shoulders, keeping your elbows close to your sides. | Pause for a moment at the top of the curl, squeezing your biceps. | Slowly lower the cable handle back to the starting position, fully extending your arms. | Repeat for the desired number of repetitions.","Exercice : Cable Squatting Curl
    Parties du corps : upper arms
    Muscles ciblés : biceps
    Muscles secondaires : forearms
    Équipement : cable
    Instructions : Attach a cable handle to the lowest setting on a cable machine. | Stand facing the machine with your feet shoulder-width apart. | Hold the cable handle with an underhand grip, palms facing up, and arms fully extended. | Lower your body into a squat position, keeping your back straight and knees behind your toes. | As you squat down, curl the cable handle towards your shoulders, keeping your elbows close to your sides. | Pause for a moment at the top of the curl, squeezing your biceps. | Slowly lower the cable handle back to the starting position, fully extending your arms. | Repeat for the desired number of repetitions.",8,True
4dF3maG,Dumbbell One Arm Hammer Preacher Curl,4dF3maG.gif,upper arms,biceps,forearms,dumbbell,"Sit on a preacher bench with a dumbbell in one hand and your upper arm resting on the pad. | Hold the dumbbell with a neutral grip (palms facing your body). | Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. | Pause for a moment at the top, squeezing your biceps. | Inhale and slowly lower the dumbbell back to the starting position. | Repeat for the desired number of repetitions, then switch arms.","Exercice : Dumbbell One Arm Hammer Preacher Curl
    Parties du corps : upper arms
    Muscles ciblés : biceps
    Muscles secondaires : forearms
    Équipement : dumbbell
    Instructions : Sit on a preacher bench with a dumbbell in one hand and your upper arm resting on the pad. | Hold the dumbbell with a neutral grip (palms facing your body). | Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. | Pause for a moment at the top, squeezing your biceps. | Inhale and slowly lower the dumbbell back to the starting position. | Repeat for the desired number of repetitions, then switch arms.",6,True
4dUn2iv,Barbell Standing Close Grip Curl,4dUn2iv.gif,upper arms,biceps,forearms,barbell,"Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, hands close together. | Keep your elbows close to your torso and your upper arms stationary throughout the movement. | Exhale as you curl the weights while contracting your biceps. Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level. | Hold the contracted position for a brief pause as you squeeze your biceps. | Inhale as you slowly begin to bring the barbell back to the starting position. | Repeat for the desired number of repetitions.","Exercice : Barbell Standing Close Grip Curl
    Parties du corps : upper arms
    Muscles ciblés : biceps
    Muscles secondaires : forearms
    Équipement : barbell
    Instructions : Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, hands close together. | Keep your elbows close to your torso and your upper arms stationary throughout the movement. | Exhale as you curl the weights while contracting your biceps. Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level. | Hold the contracted position for a brief pause as you squeeze your biceps. | Inhale as you slowly begin to bring the barbell back to the starting position. | Repeat for the desired number of repetitions.",6,True
5bpPTHv,Kettlebell Pistol Squat,5bpPTHv.gif,upper legs,glutes,"quadriceps, hamstrings, calves",kettlebell,"Stand with your feet shoulder-width apart, holding a kettlebell in front of your chest with both hands. | Lift your left foot off the ground and extend it forward, keeping it parallel to the ground. | Slowly lower your body down into a squat position, keeping your right foot flat on the ground and your left leg extended. | Pause for a moment at the bottom of the squat, then push through your right heel to return to the starting position. | Repeat for the desired number of repetitions, then switch legs.","Exercice : Kettlebell Pistol Squat
    Parties du corps : upper legs
    Muscles ciblés : glutes
    Muscles secondaires : quadriceps, hamstrings, calves
    Équipement : kettlebell
    Instructions : Stand with your feet shoulder-width apart, holding a kettlebell in front of your chest with both hands. | Lift your left foot off the ground and extend it forward, keeping it parallel to the ground. | Slowly lower your body down into a squat position, keeping your right foot flat on the ground and your left leg extended. | Pause for a moment at the bottom of the squat, then push through your right heel to return to the starting position. | Repeat for the desired number of repetitions, then switch legs.",5,True
05Cf2v8,Impossible Dips,05Cf2v8.gif,upper arms,triceps,"chest, shoulders",body weight,"Position yourself between two parallel bars with your arms fully extended and your body suspended in the air. | Bend your knees and cross your ankles. | Lower your body by bending your elbows until your upper arms are parallel to the ground. | Pause for a moment, then push yourself back up to the starting position by straightening your arms. | Repeat for the desired number of repetitions.","Exercice : Impossible Dips
    Parties du corps : upper arms
    Muscles ciblés : triceps
    Muscles secondaires : chest, shoulders
    Équipement : body weight
    Instructions : Position yourself between two parallel bars with your arms fully extended and your body suspended in the air. | Bend your knees and cross your ankles. | Lower your body by bending your elbows until your upper arms are parallel to the ground. | Pause for a moment, then push yourself back up to the starting position by straightening your arms. | Repeat for the desired number of repetitions.",5,True
