name,target,bodyPart,equipment,source_file,instructions,secondary_muscles,full_text,gif_url
Lever Seated Hip Abduction,abductors,upper legs,leverage machine,exercise_dataset,,,"Exercice : Lever Seated Hip Abduction
Partie du corps : upper legs
Muscle ciblé : abductors
Équipement : leverage machine",
Side Hip Abduction,abductors,upper legs,body weight,exercise_dataset,,,"Exercice : Side Hip Abduction
Partie du corps : upper legs
Muscle ciblé : abductors
Équipement : body weight",
Straight Leg Outer Hip Abductor,abductors,upper legs,body weight,exercise_dataset,,,"Exercice : Straight Leg Outer Hip Abductor
Partie du corps : upper legs
Muscle ciblé : abductors
Équipement : body weight",
Side Bridge Hip Abduction,abductors,upper legs,body weight,exercise_dataset,,,"Exercice : Side Bridge Hip Abduction
Partie du corps : upper legs
Muscle ciblé : abductors
Équipement : body weight",
Resistance Band Seated Hip Abduction,abductors,upper legs,resistance band,exercise_dataset,,,"Exercice : Resistance Band Seated Hip Abduction
Partie du corps : upper legs
Muscle ciblé : abductors
Équipement : resistance band",
3/4 Sit-Up,abs,waist,body weight,exercise_dataset,,,"Exercice : 3/4 Sit-Up
Partie du corps : waist
Muscle ciblé : abs
Équipement : body weight",
45° Side Bend,abs,waist,body weight,exercise_dataset,,,"Exercice : 45° Side Bend
Partie du corps : waist
Muscle ciblé : abs
Équipement : body weight",
Air Bike,abs,waist,body weight,exercise_dataset,,,"Exercice : Air Bike
Partie du corps : waist
Muscle ciblé : abs
Équipement : body weight",
Alternate Heel Touchers,abs,waist,body weight,exercise_dataset,,,"Exercice : Alternate Heel Touchers
Partie du corps : waist
Muscle ciblé : abs
Équipement : body weight",
Assisted Hanging Knee Raise With Throw Down,abs,waist,assisted,exercise_dataset,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. | Engage your core and lift your knees towards your chest, keeping your legs together. | Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully. | Allow your legs to swing back up and repeat the movement for the desired number of repetitions.","hip flexors, lower back","Exercice : Assisted Hanging Knee Raise With Throw Down
    Parties du corps : waist
    Muscles ciblés : abs
    Muscles secondaires : hip flexors, lower back
    Équipement : assisted
    Instructions : Hang from a pull-up bar with your arms fully extended and your palms facing away from you. | Engage your core and lift your knees towards your chest, keeping your legs together. | Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully. | Allow your legs to swing back up and repeat the movement for the desired number of repetitions.",8K0w2yA.gif
Assisted Hanging Knee Raise,abs,waist,assisted,exercise_dataset,,,"Exercice : Assisted Hanging Knee Raise
Partie du corps : waist
Muscle ciblé : abs
Équipement : assisted",
Assisted Lying Leg Raise With Lateral Throw Down,abs,waist,assisted,exercise_dataset,,,"Exercice : Assisted Lying Leg Raise With Lateral Throw Down
Partie du corps : waist
Muscle ciblé : abs
Équipement : assisted",
Assisted Lying Leg Raise With Throw Down,abs,waist,assisted,exercise_dataset,,,"Exercice : Assisted Lying Leg Raise With Throw Down
Partie du corps : waist
Muscle ciblé : abs
Équipement : assisted",
