name,target,bodyPart,equipment
barbell alternate biceps curl,biceps,upper arms,barbell
barbell curl,biceps,upper arms,barbell
barbell drag curl,biceps,upper arms,barbell
barbell lying preacher curl,biceps,upper arms,barbell
barbell preacher curl,biceps,upper arms,barbell
barbell prone incline curl,biceps,upper arms,barbell
barbell reverse curl,biceps,upper arms,barbell
barbell reverse preacher curl,biceps,upper arms,barbell
barbell seated close-grip concentration curl,biceps,upper arms,barbell
barbell standing close grip curl,biceps,upper arms,barbell
