name,target,bodyPart,equipment
barbell reverse wrist curl v. 2,forearms,lower arms,barbell
barbell reverse wrist curl,forearms,lower arms,barbell
barbell standing back wrist curl,forearms,lower arms,barbell
barbell wrist curl v. 2,forearms,lower arms,barbell
barbell wrist curl,forearms,lower arms,barbell
cable reverse wrist curl,forearms,lower arms,cable
cable standing back wrist curl,forearms,lower arms,cable
cable wrist curl,forearms,lower arms,cable
dumbbell lying pronation,forearms,lower arms,dumbbell
dumbbell lying supination,forearms,lower arms,dumbbell
