name,target,bodyPart,equipment
barbell clean-grip front squat,glutes,upper legs,barbell
barbell deadlift,glutes,upper legs,barbell
barbell front chest squat,glutes,upper legs,barbell
barbell front squat,glutes,upper legs,barbell
barbell full squat,glutes,upper legs,barbell
barbell hack squat,glutes,upper legs,barbell
barbell jefferson squat,glutes,upper legs,barbell
barbell jump squat,glutes,upper legs,barbell
barbell lunge,glutes,upper legs,barbell
barbell lying lifting (on hip),glutes,upper legs,barbell
