name,target,bodyPart,equipment
assisted standing triceps extension (with towel),triceps,upper arms,assisted (towel)
assisted triceps dip (kneeling),triceps,upper arms,leverage machine
barbell close-grip bench press,triceps,upper arms,barbell
barbell decline close grip to skull press,triceps,upper arms,barbell
barbell incline reverse-grip press,triceps,upper arms,barbell
barbell jm bench press,triceps,upper arms,barbell
barbell lying close-grip press,triceps,upper arms,barbell
barbell lying close-grip triceps extension,triceps,upper arms,barbell
barbell lying extension,triceps,upper arms,barbell
barbell lying triceps extension skull crusher,triceps,upper arms,barbell
