name,target,bodyPart,equipment
barbell seated calf raise,calves,lower legs,barbell
barbell standing leg calf raise,calves,lower legs,barbell
barbell standing rocking leg calf raise,calves,lower legs,barbell
circles knee stretch,calves,lower legs,body weight
donkey calf raise,calves,lower legs,body weight
dumbbell seated one leg calf raise,calves,lower legs,dumbbell
dumbbell single leg calf raise,calves,lower legs,dumbbell
dumbbell standing calf raise,calves,lower legs,dumbbell
lever seated calf raise,calves,lower legs,leverage machine
lever standing calf raise,calves,lower legs,leverage machine
