name,target,bodyPart,equipment
barbell front raise,delts,shoulders,barbell
barbell one arm snatch,delts,shoulders,barbell
barbell rear delt raise,delts,shoulders,barbell
barbell rear delt row,delts,shoulders,barbell
barbell seated behind head military press,delts,shoulders,barbell
barbell seated bradford rocky press,delts,shoulders,barbell
barbell seated overhead press,delts,shoulders,barbell
barbell skier,delts,shoulders,barbell
barbell standing bradford press,delts,shoulders,barbell
barbell standing front raise over head,delts,shoulders,barbell
