name,target,bodyPart,equipment
assisted chest dip (kneeling),pectorals,chest,leverage machine
barbell bench press,pectorals,chest,barbell
barbell decline bench press,pectorals,chest,barbell
barbell decline wide-grip press,pectorals,chest,barbell
barbell front raise and pullover,pectorals,chest,barbell
barbell guillotine bench press,pectorals,chest,barbell
barbell incline bench press,pectorals,chest,barbell
barbell wide bench press,pectorals,chest,barbell
cable bench press,pectorals,chest,cable
cable cross-over variation,pectorals,chest,cable
